index,value
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,3561
20,5233
21,5230
22,1903
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,1085
44,3607
45,3797
46,3643
47,2843
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,87
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,2809
85,4723
86,3939
87,2684
88,941
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,1484
130,1850
131,595
132,1396
133,387
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,3291
142,4860
143,4857
144,4789
145,4815
146,4815
147,4851
148,4826
149,2172
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,73
182,4254
183,4283
184,4251
185,2304
186,2115
187,2288
188,1998
189,4942
190,2551
191,2002
192,2388
193,2329
194,372
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,513
207,779
208,762
209,2642
210,4330
211,4397
212,4191
213,3799
214,3202
215,2574
216,3617
217,3439
218,1585
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,248
231,1947
232,3552
233,4525
234,3210
235,0
236,0
237,0
238,454
239,5193
240,5042
241,4953
242,4926
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,1
274,0
275,0
276,0
277,13
278,0
279,0
280,7
281,0
282,0
283,0
284,143
285,121
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,499
313,271
314,474
315,1452
316,376
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,16
359,0
360,16
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,4956
370,5291
371,5127
372,4896
373,4859
374,4988
375,4991
376,4973
377,910
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,133
392,176
393,0
394,130
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,197
410,708
411,670
412,688
413,673
414,687
415,713
416,663
417,606
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,71
434,0
435,0
436,0
437,0
438,3795
439,4894
440,5121
441,5055
442,1236
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,3906
500,4785
501,4785
502,5002
503,5009
504,5010
505,5041
506,5039
507,1770
508,0
509,0
510,0
511,0
512,0
