index,value
0,-0.693147
1,-0.693147
2,-0.693147
3,-0.693147
4,-0.693147
5,-0.693147
6,-0.693147
7,-0.693147
8,-0.693147
9,-0.620961
10,0.50721
11,-0.657817
12,-0.693147
13,-0.693147
14,-0.693147
15,-0.693147
16,-0.693147
17,-0.693147
18,-0.693147
19,-0.693147
20,-0.693147
21,-0.669279
22,0.0808545
23,-0.306502
24,-0.693147
25,-0.693147
26,-0.693147
27,-0.693147
28,-0.693147
29,-0.693147
30,-0.693147
31,-0.693147
32,-0.693147
33,-0.693147
34,-0.693147
35,-0.693147
36,-0.693082
37,-0.693147
38,-0.693147
39,-0.693147
40,-0.693147
41,-0.693147
42,-0.608838
43,-0.634726
44,-0.678589
45,-0.693147
46,-0.693147
47,-0.693147
48,-0.693147
49,-0.693147
50,-0.693147
51,-0.693147
52,-0.693147
53,-0.693147
54,-0.693147
55,-0.693147
56,-0.693147
57,-0.693147
58,-0.693147
59,-0.693147
60,-0.693147
61,-0.693147
62,-0.693147
63,-0.693147
64,-0.68482
65,-0.691915
66,-0.691559
67,-0.693147
68,-0.693147
69,-0.693147
70,-0.654374
71,-0.353664
72,-0.338266
73,-0.346292
74,-0.543785
75,-0.693147
76,-0.693147
77,-0.693147
78,-0.693147
79,-0.693147
80,-0.693147
81,-0.693147
82,-0.693147
83,-0.693147
84,-0.693147
85,-0.693147
86,-0.693147
87,-0.693147
88,-0.693147
89,-0.693147
90,-0.693096
91,-0.439665
92,-0.6023
93,-0.63379
94,-0.604974
95,-0.688732
96,-0.687341
97,-0.693041
98,-0.693147
99,-0.693147
100,-0.693147
101,-0.693147
102,-0.693147
103,-0.675892
104,-0.681939
105,-0.341651
106,-0.370007
107,-0.66789
108,-0.655261
109,-0.690036
110,-0.693147
111,-0.693147
112,-0.693147
113,-0.693147
114,-0.693147
115,-0.659533
116,0.111973
117,-0.576807
118,-0.693147
119,-0.602202
120,0.385738
121,-0.559948
122,-0.693147
123,-0.693147
124,-0.693147
125,-0.693147
126,-0.693147
127,-0.693147
128,-0.693147
129,-0.693147
130,-0.693147
131,-0.693147
132,-0.693147
133,-0.693147
134,-0.693147
135,-0.693147
136,-0.693146
137,-0.693147
138,-0.693145
139,-0.693147
140,-0.693146
141,-0.693147
142,-0.692994
143,-0.693147
144,-0.693147
145,-0.693147
146,-0.693147
147,-0.693147
148,-0.693147
149,-0.693147
150,-0.693147
151,-0.693147
152,-0.693147
153,-0.693147
154,-0.693147
155,-0.693147
156,-0.687558
157,-0.690048
158,-0.68094
159,-0.693147
160,-0.693147
161,-0.693147
162,-0.693147
163,-0.693147
164,-0.693147
165,-0.693147
166,-0.693147
167,-0.693147
168,-0.693147
169,-0.693147
170,-0.693147
171,-0.693147
172,-0.693147
173,-0.693147
174,-0.693147
175,-0.693147
176,-0.693147
177,-0.693147
178,-0.693147
179,-0.69314
180,-0.693143
181,-0.693147
182,-0.693147
183,-0.693147
184,-0.62758
185,-0.422814
186,0.108077
187,0.38358
188,-0.451104
189,-0.693147
190,-0.693147
191,-0.693147
192,-0.693147
193,-0.693147
194,-0.693147
195,-0.693104
196,-0.692973
197,-0.693102
198,-0.693147
199,-0.693147
200,-0.693147
201,-0.693147
202,-0.693147
203,-0.693147
204,-0.690392
205,-0.681293
206,-0.68122
207,-0.677373
208,-0.686778
209,-0.693147
210,-0.693147
211,-0.693147
212,-0.693147
213,-0.693147
214,-0.693147
215,-0.693147
216,-0.692034
217,-0.693147
218,-0.693147
219,-0.59426
220,-0.382881
221,-0.687521
222,-0.693147
223,-0.693147
224,-0.693147
225,-0.693147
226,-0.693147
227,-0.693147
228,-0.693147
229,-0.693147
230,-0.693147
231,-0.693147
232,-0.693147
233,-0.693147
234,-0.693147
235,-0.693147
236,-0.693147
237,-0.693147
238,-0.693147
239,-0.693147
240,-0.693147
241,-0.693147
242,-0.693147
243,-0.693147
244,-0.693147
245,-0.693147
246,-0.693147
247,-0.693147
248,-0.693147
249,-0.546591
250,3.40511
251,0.0497433
252,-0.024376
253,-0.49019
254,-0.693147
255,-0.693147
256,-0.693147
257,-0.693147
258,-0.693147
259,-0.690131
260,-0.601132
261,-0.692657
262,-0.693147
263,-0.693147
264,-0.693147
265,-0.693147
266,-0.693147
267,-0.689083
268,-0.504407
269,-0.575351
270,-0.693147
271,-0.693147
272,-0.693147
273,-0.693147
274,-0.693147
275,-0.693147
276,-0.693147
277,-0.693147
278,-0.693147
279,-0.693147
280,-0.693147
281,-0.693147
282,-0.693147
283,-0.693147
284,-0.693147
285,-0.693147
286,-0.494507
287,-0.55124
288,-0.601814
289,-0.559122
290,-0.658571
291,-0.693147
292,-0.693147
293,-0.693147
294,-0.693147
295,-0.693147
296,-0.693147
297,-0.693147
298,-0.693147
299,-0.693147
300,-0.693147
301,-0.693147
302,-0.693147
303,-0.693147
304,-0.693147
305,-0.693147
306,-0.667848
307,-0.25337
308,-0.432989
309,-0.439373
310,-0.438916
311,-0.447274
312,-0.109697
313,-0.0388433
314,-0.606867
315,-0.693147
316,-0.693147
317,-0.693147
318,-0.693147
319,-0.693147
320,-0.693147
321,-0.693147
322,-0.677524
323,-0.32955
324,-0.648364
325,-0.693147
326,-0.693147
327,-0.693147
328,-0.693147
329,-0.693147
330,-0.693147
331,-0.693147
332,-0.693147
333,-0.693147
334,-0.693147
335,-0.693147
336,-0.693147
337,-0.693147
338,-0.693147
339,-0.693147
340,-0.693147
341,-0.693147
342,-0.693147
343,-0.693147
344,-0.693147
345,-0.693115
346,-0.693147
347,-0.651515
348,-0.617272
349,-0.685315
350,-0.693147
351,-0.693147
352,-0.69311
353,-0.693147
354,-0.693147
355,-0.693147
356,-0.693147
357,-0.693147
358,-0.693147
359,-0.693147
360,-0.693147
361,-0.693147
362,-0.693147
363,-0.693147
364,-0.693147
365,-0.693147
366,-0.693147
367,-0.693147
368,-0.693147
369,-0.693147
370,-0.693147
371,-0.693147
372,-0.693147
373,-0.693147
374,-0.693147
375,-0.688941
376,-0.675836
377,-0.679148
378,-0.675743
379,-0.688509
380,-0.693147
381,-0.693147
382,-0.693147
383,-0.693147
384,-0.693147
385,-0.693147
386,-0.693147
387,-0.693147
388,-0.693147
389,-0.693147
390,-0.693147
391,-0.693147
392,-0.693147
393,-0.693147
394,-0.693147
395,-0.693147
396,-0.690707
397,-0.692914
398,-0.693147
399,-0.693147
400,-0.693147
401,-0.693147
402,-0.693147
403,-0.693147
404,-0.693147
405,-0.693147
406,-0.693142
407,-0.693147
408,-0.650656
409,-0.584025
410,-0.451659
411,-0.432321
412,-0.661922
413,-0.693147
414,-0.693147
415,-0.693147
416,-0.497314
417,0.126175
418,-0.581274
419,-0.693147
420,-0.693147
421,-0.693147
422,-0.693147
423,-0.693147
424,-0.693147
425,-0.693147
426,-0.693147
427,-0.693147
428,-0.693147
429,-0.693147
430,-0.693147
431,-0.693147
432,-0.693147
433,-0.693147
434,-0.693147
435,-0.693147
436,-0.692822
437,-0.640219
438,-0.676686
439,-0.632386
440,-0.692811
441,-0.693147
442,-0.693147
443,-0.693147
444,-0.693147
445,-0.693147
446,-0.68555
447,-0.366072
448,-0.616611
449,0.568464
450,0.569827
451,0.567495
452,0.130923
453,-0.693146
454,-0.693147
455,-0.693147
456,-0.693147
457,-0.693147
458,-0.693147
459,-0.692809
460,-0.692303
461,-0.692956
462,-0.693147
463,-0.693147
464,-0.693147
465,-0.693147
466,-0.693147
467,-0.693147
468,-0.693147
469,-0.693147
470,-0.693147
471,-0.693147
472,-0.693147
473,-0.693147
474,-0.693147
475,-0.693147
476,-0.693147
477,-0.651352
478,-0.595724
479,-0.620831
480,-0.663487
481,-0.689804
482,-0.693147
483,-0.495728
484,0.292605
485,-0.606183
486,-0.693147
487,-0.693147
488,-0.693147
489,-0.670281
490,-0.564146
491,-0.209479
492,-0.408265
493,-0.322738
494,0.539535
495,-0.240676
496,0.174051
497,0.506327
498,-0.351739
499,0.086316
500,0.020781
501,-0.519077
502,-0.693147
503,-0.693147
504,-0.693147
505,-0.693147
506,-0.693147
507,-0.693147
508,-0.693147
509,-0.693147
510,-0.693147
511,-0.693147
512,-0.693147
513,-0.693147
514,-0.693147
515,-0.693147
516,-0.693147
517,-0.693147
518,-0.693147
519,-0.69307
520,-0.693147
521,-0.693147
522,-0.693144
523,-0.693137
524,-0.693147
525,-0.693147
526,-0.693147
527,-0.693147
528,-0.693147
529,-0.693147
530,-0.693147
531,-0.693147
532,-0.693147
533,-0.693147
534,-0.693147
535,-0.693147
536,-0.691697
537,-0.693147
538,-0.581586
539,-0.331587
540,0.349672
541,2.39977
542,-0.450032
543,-0.692975
544,-0.693147
545,-0.693147
546,-0.693147
547,-0.693147
548,-0.692929
549,-0.693147
550,-0.693147
551,-0.693147
552,-0.663108
553,-0.576418
554,-0.680883
555,-0.601057
556,-0.682055
557,-0.693147
558,-0.693147
559,-0.693147
560,-0.693147
561,-0.693147
562,-0.693147
563,-0.693147
564,-0.693147
565,-0.693147
566,-0.693147
567,-0.693147
568,-0.693147
569,-0.693147
570,-0.693147
571,-0.693147
572,-0.693147
573,-0.693147
574,-0.693147
575,-0.693147
576,-0.693147
577,-0.693147
578,-0.693147
579,-0.693147
580,-0.693147
581,-0.693147
582,-0.693147
