index,value
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,0.999301
10,0.998884
11,0.999577
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,0.999763
22,0.999013
23,0.998892
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,0.999986
37,1
38,1
39,1
40,1
41,1
42,0.998545
43,0.998217
44,0.999669
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,0.999819
65,0.999701
66,0.999778
67,1
68,1
69,1
70,0.999312
71,0.998173
72,0.998201
73,0.998193
74,0.99859
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,0.999981
91,0.998035
92,0.998266
93,0.99872
94,0.998711
95,0.999093
96,0.998943
97,0.999928
98,1
99,1
100,1
101,1
102,1
103,0.999681
104,0.998952
105,0.998364
106,0.998346
107,0.998448
108,0.998511
109,0.999649
110,1
111,1
112,1
113,1
114,1
115,0.999417
116,0.998834
117,0.999319
118,1
119,0.999297
120,0.998778
121,0.99923
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,0.999999
137,1
138,0.999999
139,1
140,1
141,1
142,0.999931
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,0.999915
157,0.999758
158,0.99995
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,0.999991
180,0.99999
181,1
182,1
183,1
184,0.999391
185,0.998605
186,0.999066
187,0.999247
188,0.999452
189,1
190,1
191,1
192,1
193,1
194,1
195,0.999972
196,0.999967
197,0.999972
198,1
199,1
200,1
201,1
202,1
203,1
204,0.999973
205,0.999822
206,0.999832
207,0.999819
208,0.999841
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,0.999991
217,1
218,1
219,0.998217
220,0.998173
221,0.999759
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,0.999388
250,0.99914
251,0.998391
252,0.998375
253,0.998829
254,1
255,1
256,1
257,1
258,1
259,0.999955
260,0.999378
261,0.999966
262,1
263,1
264,1
265,1
266,1
267,0.999789
268,0.998547
269,0.998819
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,0.998481
287,0.998323
288,0.99959
289,0.998448
290,0.999442
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,0.999634
307,0.999044
308,0.999217
309,0.999237
310,0.998808
311,0.998816
312,0.999248
313,0.999325
314,0.999326
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,0.999551
323,0.998563
324,0.998527
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,0.999976
346,1
347,0.998564
348,0.998082
349,0.999604
350,1
351,1
352,0.999986
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,0.999397
376,0.998051
377,0.99798
378,0.998033
379,0.998731
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,0.999067
397,0.999822
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,0.999998
407,1
408,0.999006
409,0.998533
410,0.998305
411,0.998298
412,0.999468
413,1
414,1
415,1
416,0.999038
417,0.998796
418,0.999355
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,0.999995
437,0.99963
438,0.999825
439,0.999636
440,0.999965
441,1
442,1
443,1
444,1
445,1
446,0.999639
447,0.99822
448,0.997976
449,0.998548
450,0.998559
451,0.99858
452,0.998601
453,1
454,1
455,1
456,1
457,1
458,1
459,0.999786
460,0.99968
461,0.999971
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,0.999152
478,0.998701
479,0.99885
480,0.999085
481,0.99967
482,1
483,0.999066
484,0.998723
485,0.999368
486,1
487,1
488,1
489,0.9993
490,0.998372
491,0.99865
492,0.998559
493,0.998435
494,0.998922
495,0.998468
496,0.998528
497,0.998794
498,0.998403
499,0.998547
500,0.998494
501,0.998837
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,0.999997
520,1
521,1
522,0.999998
523,0.99999
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,0.99987
537,1
538,0.999304
539,0.998284
540,0.999147
541,0.999356
542,0.999218
543,0.999993
544,1
545,1
546,1
547,1
548,0.999964
549,1
550,1
551,1
552,0.999762
553,0.999577
554,0.999672
555,0.999605
556,0.999789
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,1
583,0.999993
584,1
585,1
586,1
587,0.998516
588,0.998108
589,0.998003
590,0.998063
591,0.999586
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,0.998791
600,0.998486
601,0.998676
602,0.998544
603,0.99817
604,0.998161
605,0.998224
606,0.998245
607,0.998248
608,0.998224
609,0.998726
610,0.998606
611,0.998724
612,0.998718
613,0.998557
614,0.998702
615,0.999102
616,1
617,1
618,1
619,0.999402
620,0.998797
621,0.998669
622,0.999069
623,0.99871
624,0.99888
625,1
626,1
627,1
628,1
629,1
630,1
631,0.999705
632,0.998183
633,0.998143
634,0.998095
635,0.998145
636,0.998128
637,0.998368
638,0.998485
639,0.99825
640,0.998148
641,0.998214
642,0.998229
643,0.997726
644,0.99789
645,0.998068
646,0.998273
647,0.998235
648,0.999742
649,1
650,1
651,1
652,1
653,1
