index,value
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0.478664
10,4.87747
11,0.218448
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0.110691
22,-0.635742
23,3.15834
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0.000516754
37,0
38,0
39,0
40,0
41,0
42,0.821725
43,0.542792
44,0.136245
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0.0715681
65,0.0088989
66,0.0128577
67,0
68,0
69,0
70,0.320181
71,2.59101
72,2.76135
73,2.6945
74,1.28444
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0.000409459
91,2.2327
92,0.896786
93,0.423302
94,0.774022
95,0.0358962
96,0.0477647
97,0.000848275
98,0
99,0
100,0
101,0
102,0
103,0.118815
104,0.10364
105,2.72284
106,2.52046
107,0.241971
108,0.334902
109,0.0236286
110,0
111,0
112,0
113,0
114,0
115,0.232154
116,3.24772
117,0.872521
118,0
119,0.663304
120,-0.435342
121,0.862592
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,6.03031e-06
137,0
138,1.79207e-05
139,0
140,1.28078e-05
141,0
142,0.00123823
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0.0475679
157,0.0211437
158,0.0659065
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,5.41236e-05
180,3.68692e-05
181,0
182,0
183,0
184,0.52694
185,2.19215
186,8.53313
187,3.39373
188,1.94298
189,0
190,0
191,0
192,0
193,0
194,0
195,0.000343098
196,0.00143369
197,0.000369635
198,0
199,0
200,0
201,0
202,0
203,0
204,0.019413
205,0.0882199
206,0.0994023
207,0.131318
208,0.0514739
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0.00506862
217,0
218,0
219,0.845616
220,2.11943
221,0.0455594
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,1.16898
250,0
251,1.98794
252,1.86428
253,1.87405
254,0
255,0
256,0
257,0
258,0
259,0.00326833
260,0.644701
261,0.00345245
262,0
263,0
264,0
265,0
266,0
267,0.0296734
268,1.04205
269,0.686598
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,1.45129
287,0.937288
288,-0.303855
289,0.886611
290,0.278291
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0.18819
307,1.7634
308,1.04327
309,1.01748
310,1.01877
311,0.985295
312,2.34831
313,2.63672
314,0.618654
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0.127234
323,-0.696788
324,0.349941
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0.00025809
346,0
347,0.40527
348,0.781912
349,0.0773115
350,0
351,0
352,0.000296703
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0.034759
376,0.151827
377,0.119827
378,0.152148
379,0.0373221
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0.0189412
397,0.00188395
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,4.09096e-05
407,0
408,0.301225
409,0.743405
410,1.69128
411,1.79779
412,0.241759
413,0
414,0
415,0
416,1.62948
417,5.7062
418,0.828574
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
